show_num,round_code,contestant,score,num_right,num_ddright,num_wrong,num_ddwrong,finish
8301,J,Kate,5000,17,1,2,0,Third
8301,J,Valerie,6000,19,1,1,0,Winner
8301,J,Jeffrey,9000,17,1,1,0,Second
8301,DJ,Kate,19000,17,1,2,0,Third
8301,DJ,Valerie,20600,19,1,1,0,Winner
8301,DJ,Jeffrey,14600,17,1,1,0,Second
8301,FJ,Kate,0,17,1,2,0,Third
8301,FJ,Valerie,38001,19,1,1,0,Winner
8301,FJ,Jeffrey,2600,17,1,1,0,Second
8300,J,Kendra,4800,18,0,2,1,Second
8300,J,Nizar,1800,13,0,7,2,Third
8300,J,Kate,3600,17,0,3,0,Winner
8300,DJ,Kendra,9200,18,0,2,1,Second
8300,DJ,Nizar,1800,13,0,7,2,Third
8300,DJ,Kate,12000,17,0,3,0,Winner
8300,FJ,Kendra,3700,18,0,2,1,Second
8300,FJ,Nizar,15,13,0,7,2,Third
8300,FJ,Kate,5599,17,0,3,0,Winner
8299,J,Kendra,7800,24,1,1,0,Winner
8299,J,Gabriel,1800,8,0,4,0,Third
8299,J,Becca,2000,19,1,5,1,Second
8299,DJ,Kendra,20200,24,1,1,0,Winner
8299,DJ,Gabriel,1800,8,0,4,0,Third
8299,DJ,Becca,7000,19,1,5,1,Second
8299,FJ,Kendra,14200,24,1,1,0,Winner
8299,FJ,Gabriel,15,8,0,4,0,Third
8299,FJ,Becca,4000,19,1,5,1,Second
8298,J,Kristen,5600,25,0,4,1,Second
8298,J,Jason,3000,10,0,5,1,Third
8298,J,Kendra,4000,20,1,2,0,Winner
8298,DJ,Kristen,13200,25,0,4,1,Second
8298,DJ,Jason,1600,10,0,5,1,Third
8298,DJ,Kendra,19400,20,1,2,0,Winner
8298,FJ,Kristen,21200,25,0,4,1,Second
8298,FJ,Jason,3200,10,0,5,1,Third
8298,FJ,Kendra,26401,20,1,2,0,Winner
8297,J,John,4600,14,0,2,1,Second
8297,J,Kristen,4200,17,1,3,0,Winner
8297,J,Cody,2200,19,0,2,1,Third
8297,DJ,John,7000,14,0,2,1,Second
8297,DJ,Kristen,15800,17,1,3,0,Winner
8297,DJ,Cody,11400,19,0,2,1,Third
8297,FJ,John,13000,14,0,2,1,Second
8297,FJ,Kristen,22801,17,1,3,0,Winner
8297,FJ,Cody,8799,19,0,2,1,Third
8296,J,Katherine,1800,15,1,3,0,Third
8296,J,Amy,3800,12,0,2,0,Second
8296,J,John,6600,26,2,2,0,Winner
8296,DJ,Katherine,16400,15,1,3,0,Third
8296,DJ,Amy,9800,12,0,2,0,Second
8296,DJ,John,22000,26,2,2,0,Winner
8296,FJ,Katherine,0,15,1,3,0,Third
8296,FJ,Amy,100,12,0,2,0,Second
8296,FJ,John,11199,26,2,2,0,Winner
8295,J,Fred,4800,18,0,5,1,Third
8295,J,Josh,3800,16,0,2,1,Second
8295,J,Katherine,2600,15,1,1,0,Winner
8295,DJ,Fred,11400,18,0,5,1,Third
8295,DJ,Josh,10600,16,0,2,1,Second
8295,DJ,Katherine,15000,15,1,1,0,Winner
8295,FJ,Fred,2399,18,0,5,1,Third
8295,FJ,Josh,5600,16,0,2,1,Second
8295,FJ,Katherine,22801,15,1,1,0,Winner
8294,J,Leslie,3600,18,1,1,1,Second
8294,J,Morgan,1800,11,0,3,0,Third
8294,J,Fred,4200,20,0,6,1,Winner
8294,DJ,Leslie,14800,18,1,1,1,Second
8294,DJ,Morgan,5000,11,0,3,0,Third
8294,DJ,Fred,15000,20,0,6,1,Winner
8294,FJ,Leslie,100,18,1,1,1,Second
8294,FJ,Morgan,3,11,0,3,0,Third
8294,FJ,Fred,20001,20,0,6,1,Winner
8293,J,T.J.!,2800,25,1,6,1,Third
8293,J,Leslie,1500,9,0,3,1,Winner
8293,J,Michael,4200,14,0,2,0,Second
8293,DJ,T.J.!,14000,25,1,6,1,Third
8293,DJ,Leslie,4700,9,0,3,1,Winner
8293,DJ,Michael,12600,14,0,2,0,Second
8293,FJ,T.J.!,2000,25,1,6,1,Third
8293,FJ,Leslie,2700,9,0,3,1,Winner
8293,FJ,Michael,2600,14,0,2,0,Second
8292,J,Ryan,8200,22,1,2,1,Third
8292,J,T.J.!,3400,16,1,2,0,Winner
8292,J,Denise,3200,12,0,1,0,Second
8292,DJ,Ryan,8800,22,1,2,1,Third
8292,DJ,T.J.!,16200,16,1,2,0,Winner
8292,DJ,Denise,7600,12,0,1,0,Second
8292,FJ,Ryan,1399,22,1,2,1,Third
8292,FJ,T.J.!,18200,16,1,2,0,Winner
8292,FJ,Denise,14600,12,0,1,0,Second
8291,J,Ryan,6600,22,1,1,0,Winner
8291,J,Tracy,300,10,1,3,1,Second
8291,J,Ben!,2600,14,0,4,0,Third
8291,DJ,Ryan,25800,22,1,1,0,Winner
8291,DJ,Tracy,4100,10,1,3,1,Second
8291,DJ,Ben!,6600,14,0,4,0,Third
8291,FJ,Ryan,26323,22,1,1,0,Winner
8291,FJ,Tracy,1599,10,1,3,1,Second
8291,FJ,Ben!,442,14,0,4,0,Third
8290,J,Ryan,4800,16,1,1,0,Winner
8290,J,Gabriel,3200,26,1,6,1,Third
8290,J,Chandy,-200,10,0,1,0,Second
8290,DJ,Ryan,19400,16,1,1,0,Winner
8290,DJ,Gabriel,14700,26,1,6,1,Third
8290,DJ,Chandy,12600,10,0,1,0,Second
8290,FJ,Ryan,29401,16,1,1,0,Winner
8290,FJ,Gabriel,2,26,1,6,1,Third
8290,FJ,Chandy,8200,10,0,1,0,Second
8289,J,Ryan,6200,23,1,1,0,Winner
8289,J,Zack,4800,17,1,1,0,Second
8289,J,Aaron,5000,15,1,1,0,Third
8289,DJ,Ryan,24400,23,1,1,0,Winner
8289,DJ,Zack,14400,17,1,1,0,Second
8289,DJ,Aaron,13000,15,1,1,0,Third
8289,FJ,Ryan,28801,23,1,1,0,Winner
8289,FJ,Zack,27401,17,1,1,0,Second
8289,FJ,Aaron,26000,15,1,1,0,Third
8288,J,Henry,3400,19,1,3,1,Second
8288,J,Ryan,4800,14,1,1,0,Winner
8288,J,Antonette,3800,12,0,5,0,Third
8288,DJ,Henry,10000,19,1,3,1,Second
8288,DJ,Ryan,12000,14,1,1,0,Winner
8288,DJ,Antonette,4600,12,0,5,0,Third
8288,FJ,Henry,9201,19,1,3,1,Second
8288,FJ,Ryan,20001,14,1,1,0,Winner
8288,FJ,Antonette,1,12,0,5,0,Third
8287,J,Henry,8600,25,3,1,0,Winner
8287,J,Matt,4000,17,0,2,0,Second
8287,J,Jennifer,1200,12,0,3,0,Third
8287,DJ,Henry,25400,25,3,1,0,Winner
8287,DJ,Matt,9600,17,0,2,0,Second
8287,DJ,Jennifer,8800,12,0,3,0,Third
8287,FJ,Henry,30400,25,3,1,0,Winner
8287,FJ,Matt,17700,17,0,2,0,Second
8287,FJ,Jennifer,17600,12,0,3,0,Third
8286,J,Charlie,7400,27,1,5,0,Second
8286,J,Amanda,3200,11,0,0,0,Third
8286,J,Henry,2600,14,2,1,0,Winner
8286,DJ,Charlie,15400,27,1,5,0,Second
8286,DJ,Amanda,7600,11,0,0,0,Third
8286,DJ,Henry,17200,14,2,1,0,Winner
8286,FJ,Charlie,23400,27,1,5,0,Second
8286,FJ,Amanda,0,11,0,0,0,Third
8286,FJ,Henry,31000,14,2,1,0,Winner
8285,J,Andy,10800,14,1,1,0,Second
8285,J,Charlie,7800,28,1,2,0,Winner
8285,J,Rhonda,1800,11,1,1,0,Third
8285,DJ,Andy,14000,14,1,1,0,Second
8285,DJ,Charlie,25000,28,1,2,0,Winner
8285,DJ,Rhonda,9000,11,1,1,0,Third
8285,FJ,Andy,27990,14,1,1,0,Second
8285,FJ,Charlie,30000,28,1,2,0,Winner
8285,FJ,Rhonda,7,11,1,1,0,Third
8284,J,Andy,13000,24,1,2,0,Winner
8284,J,Emily,2000,14,1,1,0,Second
8284,J,Tuan,4600,11,1,3,0,Third
8284,DJ,Andy,19000,24,1,2,0,Winner
8284,DJ,Emily,13600,14,1,1,0,Second
8284,DJ,Tuan,13200,11,1,3,0,Third
8284,FJ,Andy,27201,24,1,2,0,Winner
8284,FJ,Emily,26600,14,1,1,0,Second
8284,FJ,Tuan,13601,11,1,3,0,Third
8283,J,Andy,7000,18,0,1,0,Winner
8283,J,Kevin,400,12,1,5,0,Second
8283,J,Deanna,9000,25,2,2,0,Third
8283,DJ,Andy,12600,18,0,1,0,Winner
8283,DJ,Kevin,7900,12,1,5,0,Second
8283,DJ,Deanna,17800,25,2,2,0,Third
8283,FJ,Andy,17200,18,0,1,0,Winner
8283,FJ,Kevin,14900,12,1,5,0,Second
8283,FJ,Deanna,10399,25,2,2,0,Third
8282,J,Andy,10200,28,2,3,1,Winner
8282,J,Dan,3000,14,0,2,0,Third
8282,J,Holly,1200,10,0,2,0,Second
8282,DJ,Andy,19800,28,2,3,1,Winner
8282,DJ,Dan,9400,14,0,2,0,Third
8282,DJ,Holly,8000,10,0,2,0,Second
8282,FJ,Andy,20799,28,2,3,1,Winner
8282,FJ,Dan,9400,14,0,2,0,Third
8282,FJ,Holly,15999,10,0,2,0,Second
8281,J,John,9800,27,1,0,0,Second
8281,J,Kelly,3800,13,0,4,0,Third
8281,J,Andy,3800,16,2,2,0,Winner
8281,DJ,John,24200,27,1,0,0,Second
8281,DJ,Kelly,7000,13,0,4,0,Third
8281,DJ,Andy,20400,16,2,2,0,Winner
8281,FJ,John,7200,27,1,0,0,Second
8281,FJ,Kelly,500,13,0,4,0,Third
8281,FJ,Andy,26799,16,2,2,0,Winner
8280,J,Kate,3200,14,0,1,0,Second
8280,J,John,11800,30,2,1,1,Winner
8280,J,Mary,1000,9,0,1,0,Third
8280,DJ,Kate,12800,14,0,1,0,Second
8280,DJ,John,24200,30,2,1,1,Winner
8280,DJ,Mary,6200,9,0,1,0,Third
8280,FJ,Kate,25575,14,0,1,0,Second
8280,FJ,John,26200,30,2,1,1,Winner
8280,FJ,Mary,12200,9,0,1,0,Third
8279,J,Greg,3200,11,1,4,1,Third
8279,J,Nalin,2000,14,1,2,0,Second
8279,J,Kate,6000,18,0,1,0,Winner
8279,DJ,Greg,4800,11,1,4,1,Third
8279,DJ,Nalin,8000,14,1,2,0,Second
8279,DJ,Kate,12800,18,0,1,0,Winner
8279,FJ,Greg,9599,11,1,4,1,Third
8279,FJ,Nalin,16000,14,1,2,0,Second
8279,FJ,Kate,16800,18,0,1,0,Winner
8278,J,Greg,5000,19,1,1,0,Winner
8278,J,Daniella,2200,9,0,1,0,Third
